traffic,precip,temp,first_week,last_wk,mon,tue,wed,thu,fri,Sat,sun,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
5.063636364,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.925,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.383333333,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.183333333,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.008333333,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.125,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.375,0.0,27.444444444444446,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.05,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.016666667,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.908333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.825,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.858333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.841666667,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.258333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.683333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.375,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.633333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.958333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.033333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.975,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.9,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.766666667,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.875,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.15,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.525,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.725,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.866666667,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.358333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.25,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.916666667,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.358333333,0.0,28.555555555555557,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.941666667,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.05,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.958333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.125,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.858333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.675,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.9,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.983333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.408333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.675,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.858333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.683333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.675,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.658333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.116666667,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.291666667,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.691666667,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.491666667,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.633333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.433333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.075,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.975,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.358333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.133333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.15,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.966666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.783333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.733333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.391666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.3,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.733333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.525,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.775,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5.6,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.216666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.516666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.5,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.416666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.275,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.2,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.508333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.708333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5.783333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.791666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.45,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.883333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.15,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.266666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.083333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.991666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.666666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.783333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.916666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2.15,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2.408333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.158333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.958333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4.9,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.316666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
