traffic,first_week,last_wk,acci,public_hol,rush_hr,mon,tue,wed,thu,fri,Sat,sun,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
5.063636364,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.925,1,0,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.383333333,1,0,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.183333333,1,0,14,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.008333333,1,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.125,1,0,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.375,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.05,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.016666667,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.908333333,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.825,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.858333333,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.841666667,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.258333333,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.683333333,1,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.375,1,0,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.633333333,1,0,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.958333333,1,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.033333333,1,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.975,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
