year,mo,da,temp,min,max,prcp
2019,01,06,83.1,74.1,87.8,0.74
2019,01,05,82.7,72.5,91.9,0.64
2019,01,05,83.1,73.0,88.9,0.47
2019,01,05,84.3,75.2,93.4,0.04
2019,01,05,82.3,74.5,88.2,0.15
2019,01,03,74.9,72.0,77.0,6.46
2019,01,04,73.6,73.4,75.2,99.99
2019,01,17,85.5,71.6,93.2,0.0
2019,01,18,79.8,69.8,87.8,0.0
2019,01,18,84.4,73.4,91.4,0.0
2019,01,27,78.5,66.2,86.0,0.0
2019,01,04,77.3,73.4,80.6,99.99
2019,01,16,84.2,73.4,91.4,0.0
2019,01,20,84.2,73.4,89.6,0.0
2019,01,25,78.9,68.0,89.6,0.0
2019,01,21,85.9,75.2,91.4,0.0
2019,01,04,77.6,68.0,84.2,0.0
2019,01,20,81.3,69.8,91.4,0.0
2019,01,10,81.5,71.6,89.6,0.0
2019,01,29,78.3,64.4,89.6,0.0
2019,01,29,85.6,73.4,93.2,0.0
2019,01,12,85.9,75.2,93.2,0.0
2019,01,21,81.2,69.8,87.8,0.0
2019,01,11,83.8,75.2,89.6,0.0
2019,01,07,85.0,75.2,89.6,0.0
2019,01,01,81.5,68.0,87.8,0.0
2019,01,31,80.6,68.0,91.4,0.0
2019,01,03,78.2,73.4,82.4,0.0
2019,01,05,78.4,71.6,84.2,0.0
2019,01,14,84.8,75.2,91.4,0.0
2019,01,26,84.5,66.2,91.4,0.0
2019,01,05,80.2,69.8,86.0,0.0
2019,01,23,86.3,69.8,93.2,0.0
2019,01,23,80.6,68.0,89.6,0.0
2019,01,28,85.6,69.8,91.4,0.0
2019,01,30,80.3,66.2,91.4,0.0
2019,01,08,76.5,73.4,78.8,99.99
2019,01,13,82.9,73.4,89.6,0.0
2019,01,30,82.7,71.6,87.8,0.0
2019,01,02,76.4,66.2,84.2,0.0
2019,01,28,78.0,66.2,87.8,0.0
2019,01,22,76.2,66.2,82.4,0.0
2019,01,03,73.7,59.0,84.2,0.0
2019,01,27,77.7,64.4,84.2,0.0
2019,01,04,77.6,68.0,84.2,0.0
2019,01,11,83.9,73.4,89.6,0.0
2019,01,10,83.1,75.2,89.6,0.0
2019,01,17,76.4,66.2,82.4,0.0
2019,01,02,73.1,59.0,80.6,0.0
2019,01,23,77.1,62.6,84.2,0.0
2019,01,03,74.4,62.6,78.8,0.0
2019,01,14,83.1,73.4,87.8,0.0
2019,01,20,83.5,71.6,89.6,0.0
2019,01,25,80.9,66.2,87.8,0.0
2019,01,19,81.6,68.0,87.8,0.0
2019,01,09,82.7,73.4,86.0,0.0
2019,01,21,82.7,73.4,87.8,0.0
2019,01,06,84.3,73.4,91.4,0.0
2019,01,29,82.0,68.0,89.6,0.0
2019,01,28,82.9,71.6,87.8,99.99
2019,01,09,80.2,68.0,89.6,0.0
2019,01,21,78.9,64.4,87.8,0.0
2019,01,22,79.4,71.6,86.0,99.99
2019,01,10,83.2,75.2,87.8,0.0
2019,01,01,81.6,73.4,86.0,0.0
2019,01,27,81.4,69.8,86.0,0.0
2019,01,09,80.7,69.8,87.8,0.0
2019,01,18,74.1,64.4,82.4,0.0
2019,01,13,83.0,75.2,87.8,0.0
2019,01,24,77.5,66.2,86.0,0.0
2019,01,06,82.9,78.8,86.0,0.0
2019,01,31,82.4,71.6,87.8,0.0
2019,01,26,80.6,69.8,86.0,0.0
2019,01,19,82.4,73.4,86.0,0.0
2019,01,04,74.9,64.4,80.6,0.0
2019,01,31,82.4,68.0,91.4,0.0
2019,01,13,84.7,73.4,93.2,0.0
2019,01,06,82.2,69.8,91.4,0.0
2019,01,29,78.7,64.4,87.8,0.0
2019,01,31,82.2,66.2,91.4,0.0
2019,01,18,81.8,75.2,86.0,99.99
2019,01,19,78.8,66.2,87.8,0.0
2019,01,30,79.4,73.4,86.0,99.99
2019,01,08,80.8,69.8,87.8,0.0
2019,01,25,77.9,62.6,87.8,0.0
2019,01,26,76.9,60.8,84.2,0.0
2019,01,12,80.8,73.4,86.0,99.99
2019,01,24,75.6,62.6,86.0,0.0
2019,01,27,75.0,59.0,84.2,0.0
2019,01,02,72.7,59.0,82.4,0.0
2019,01,07,82.0,69.8,91.4,0.0
2019,01,29,81.3,73.4,87.8,99.99
2019,01,04,75.0,64.4,82.4,0.0
2019,01,28,76.6,60.8,84.2,0.0
2019,01,01,71.6,59.0,80.6,0.0
2019,01,03,73.1,60.8,80.6,0.0
2019,01,29,78.0,64.4,89.6,0.0
2019,01,11,80.6,69.8,89.6,0.0
2019,01,27,84.1,77.0,87.8,0.0
2019,01,11,83.6,80.6,86.0,0.0
2019,01,13,83.3,78.8,87.8,99.99
2019,01,19,79.7,73.4,86.0,99.99
2019,01,22,83.3,78.8,86.0,0.0
2019,01,26,84.0,80.6,87.8,0.0
2019,01,30,83.2,80.6,86.0,0.0
2019,01,07,84.2,82.4,87.8,0.0
2019,01,15,82.5,77.0,86.0,99.99
2019,01,01,84.6,80.6,89.6,0.0
2019,01,29,83.4,78.8,86.0,99.99
2019,01,17,83.2,78.8,86.0,99.99
2019,01,21,82.6,78.8,86.0,0.0
2019,01,09,83.9,80.6,87.8,0.0
2019,01,08,84.0,82.4,87.8,0.0
2019,01,10,83.7,80.6,87.8,0.0
2019,01,16,80.2,68.0,93.2,0.0
