traffic,precip,temp_f,mon,tues,wed,thu,fri,sat,sun,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
0.506363636,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5925,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.638333333,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.518333333,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.400833333,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3125,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1375,0,0.814,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.105,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.101666667,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.090833333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0825,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.085833333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.084166667,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.225833333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.468333333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6375,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.563333333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.495833333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.503333333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4975,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.49,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.476666667,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4875,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.515,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5525,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6725,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.686666667,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.535833333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.425,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.291666667,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.135833333,0,0.834,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.094166667,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.105,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.095833333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1125,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.085833333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1675,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.39,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.598333333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.640833333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5675,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.585833333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.568333333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5675,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.565833333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.611666667,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.629166667,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.669166667,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.749166667,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.763333333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.643333333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5075,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3975,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.135833333,0,0.858,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.113333333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.115,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.096666667,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.078333333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.073333333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.139166667,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.23,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.273333333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3525,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4775,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.56,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.621666667,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.651666667,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.65,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.641666667,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6275,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.62,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.650833333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.670833333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.578333333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.479166667,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.445,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.188333333,0,0.839,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.115,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.126666667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.108333333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.099166667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.066666667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.078333333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.191666667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.215,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.240833333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.315833333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.395833333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.49,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.531666667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.559166667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.54,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.5275,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.520833333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.563333333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.5725,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.599166667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.4925,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.446666667,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.345,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.125833333,0,0.831,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.105833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.084166667,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.100833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.085833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.098333333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.098333333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.308333333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.630833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.73,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.684166667,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.660833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.595833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.570833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.548333333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.571666667,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.605833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.644166667,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.700833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.771666667,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6925,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5625,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.420833333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.226666667,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.153333333,0,0.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1275,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1075,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.125,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.099166667,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.083333333,0,0.846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
